,sample,iou,intersection,union,gt_area,segmentation_area,gt_x_center,gt_y_center,segmentation_x_center,segmentation_y_center,x_distance,y_distance,euclidean_distance,x_size,y_size
11,0105.jpg,0.0032719245434477224,2038,622875,2038,622875,516.3670264965652,519.9833169774289,503.6540172586795,552.7768476821192,12.713009237885728,-32.79353070469028,35.1715262671672,1024,1024
12,0274.jpg,0.0012774049882089383,1332,1042739,1332,1042739,493.4527027027027,472.61036036036035,510.7901277309087,511.9865814935473,-17.337425028205985,-39.37622113318696,43.02409902994254,1024,1024
13,0680.jpg,0.010544014013224768,9896,938542,9896,938542,538.2446443007276,520.7535367825384,495.77952078862745,509.6500710676773,42.46512351210015,11.103465714861102,43.89275185926507,1024,1024
14,0347.jpg,0.01383190401215605,11324,818687,11324,818687,624.9443659484281,514.651624867538,524.2805760931833,495.49688342431233,100.66378985524477,19.154741443225646,102.47000882100922,1024,1024
15,0009.jpg,0.002380078053277808,2437,1023916,2437,1023916,516.3943372999589,327.06729585556013,511.0085368330996,516.3743559041952,5.385800466859337,-189.3070600486351,189.38365777153624,1024,1024
16,0646.jpg,0.0033136003319389966,3434,1036335,3434,1036335,571.1974373907979,502.03232382061736,510.804336435612,512.9672991841442,60.393100955185844,-10.934975363526803,61.375079056439574,1024,1024
17,0672.jpg,0.0052634383340679994,5433,1032215,5433,1032215,543.6882017301675,478.4143198969262,510.97768488154117,511.7141264174615,32.710516848626355,-33.2998065205353,46.678207193607534,1024,1024
18,0195.jpg,0.003743258586432018,2532,676416,2532,676416,501.59399684044234,514.9435229067931,519.8137122717382,513.2313753666383,-18.21971543129581,1.712147540154774,18.299985781323894,1024,1024
19,0524.jpg,0.03789554201124845,37355,985736,37355,985736,404.94016865212154,555.5886494445188,523.9243752891241,496.2220503258479,-118.98420663700256,59.36659911867088,132.9723073423707,1024,1024
20,0690.jpg,0.00622868877867328,6430,1032320,6430,1032320,623.210730948678,528.1071539657854,515.6110488995661,508.6342800681959,107.59968204911195,19.472873897589523,109.34753950090239,1024,1024
21,0048.jpg,0.0027954118630479545,2779,994129,2779,994129,512.7794170564952,418.1694854264124,522.4421639445183,495.95896810172525,-9.662746888023094,-77.78948267531285,78.38732226779275,1024,1024
22,0506.jpg,0.006868049439115748,7096,1033190,7096,1033190,573.7206877113867,511.6371195039459,509.06640598534636,514.0724494042722,64.65428172604038,-2.4353299003263373,64.70013119950858,1024,1024
